tmp2,dat_1,dat_2,dat_3,dat_4,dat_5,dat_6,dat_7,dat_8,dat_9,dat_10
2017-01-01 01:00:00,3.2,7.1,19.8,NaN,22,7.5,18.4,10.15,4.4,NaN
2017-01-01 02:00:00,0.7,7.3,20.7,NaN,18.1,6.6,19.6,10.39,7.2,NaN
2017-01-01 03:00:00,3,5.2,20.7,NaN,17.9,6.8,19,10.63,4.6,NaN
2017-01-01 04:00:00,-2.5,5.3,17.6,NaN,21.4,6.4,18.5,11.12,2,NaN
2017-01-01 05:00:00,-0.1,3.8,15.7,NaN,21.5,6.5,16.4,9.9,0.2,NaN
2017-01-01 06:00:00,-3.1,2.5,12.3,NaN,24.3,5.7,19.3,6.48,1.2,NaN
2017-01-01 07:00:00,-0.7,4.1,8.7,NaN,25,6.1,20.6,5.51,3.2,NaN
2017-01-01 08:00:00,-1.7,3.3,5.1,NaN,19.9,3.3,20.6,6,3.3,NaN
2017-01-01 09:00:00,-2.8,3,4.7,NaN,23.2,4.1,14.5,4.04,2.3,NaN
2017-01-01 10:00:00,0.2,1.7,1.9,NaN,17.5,6.7,12.1,3.8,2.5,NaN
2017-01-01 11:00:00,1.1,0.2,1.8,NaN,12.7,3.1,12.8,4.77,4.2,NaN
2017-01-01 12:00:00,1.3,0,4.1,NaN,5.9,4.1,1.9,5.75,5.6,NaN
2017-01-01 13:00:00,0.6,0.5,2.7,NaN,14.7,3.5,0.5,6.97,1.8,NaN
2017-01-01 14:00:00,0.1,0.3,0,NaN,22.6,5.8,2.6,7.95,3.2,NaN
2017-01-01 15:00:00,1.2,-0.1,0.5,NaN,5.1,1.9,0.9,7.95,4.2,NaN
2017-01-01 16:00:00,-2.2,4.3,26.9,NaN,5,1.3,3.1,6,9.6,NaN
2017-01-01 17:00:00,3.2,3.5,9,NaN,4.1,3.4,4.9,8.44,6,NaN
2017-01-01 18:00:00,2.9,4.8,2.1,NaN,4.9,2,4.6,10.39,7,NaN
2017-01-01 19:00:00,4.9,4.2,2.2,NaN,5.7,1.2,4,7.46,17.1,NaN
2017-01-01 20:00:00,2.5,2.9,-0.1,NaN,5.6,3.5,7.5,5.26,11.3,NaN
2017-01-01 21:00:00,5.1,5.9,5.6,NaN,5.2,3.9,3.6,5.75,7.5,NaN
2017-01-01 22:00:00,1.4,3.9,5.3,NaN,5.2,5.3,6.3,5.75,7.2,NaN
2017-01-01 23:00:00,0.5,4.5,4.8,NaN,4.8,6.6,6,6.97,3.2,NaN
2017-01-02 00:00:00,1.9,4,6.2,NaN,5.8,3.8,7.4,9.66,2.3,NaN
2017-01-02 01:00:00,3.3,4.8,2.5,NaN,5.8,3.6,4.4,8.93,5.3,NaN
2017-01-02 02:00:00,5.4,3.9,3.3,NaN,4.7,5.2,1.5,9.66,0.9,NaN
2017-01-02 03:00:00,1.4,2.9,1.8,NaN,4.5,2.2,2.2,11.37,5.7,NaN
2017-01-02 04:00:00,-2.4,6.4,4.8,NaN,5.5,4.1,3.7,9.66,5.9,NaN
2017-01-02 05:00:00,2.7,2.9,8.1,NaN,6.8,1.9,2.8,10.39,3.4,NaN
